Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,330.69,84.5,107.21,138.97,915426,
amazon-2008,,150.04,10.61,96.47,42.96,687080,
vas_stokes_4M,,223.59,51.35,65.51,106.73,15135826,
road_usa,,292.84,55.17,62.55,175.12,42031,
nlpkkt120,,247.47,35.21,123.56,88.7,7102966,
Bump_2911,,156.14,24.3,64.89,66.94,8435665,
cage15,,238.25,38.97,84.87,114.42,9662182,
hugebubbles-00000,,215.81,25.76,59.21,130.83,164595,
kron_g500-logn21,,1441.16,527.67,120.3,793.19,86178645,
