Graph Name,Coarsen Edges,Partition Time,Coarsen Time,Init Time,Uncoarsen Time,Edgecut,Coarsen nvtxs
wb-edu,,251.94,85.58,81.5,84.86,549585,
amazon-2008,,106.47,10.66,70.08,25.73,464512,
vas_stokes_4M,,148.66,51.96,37.51,59.2,6403556,
road_usa,,200.77,55.02,37.44,108.31,18991,
nlpkkt120,,186.84,35.38,95.03,56.43,4367224,
Bump_2911,,99.37,24.63,36.98,37.77,4572221,
cage15,,160.63,39.2,57.48,63.95,6142086,
hugebubbles-00000,,134.53,25.73,32.71,76.09,71444,
kron_g500-logn21,,1236.15,573.21,88.33,574.6,73730703,
